relation,from_node_type,from_node,from_node_key,from_node_note,from_node_ts,to_node_type,to_node,to_node_key,to_node_note,to_node_ts
indep,monitor,monitor1110,202311101200-monitor-gh1-photo01,TRUE,202311101200,precal,precal_m1_1110,202311101200-precal-gh1-m1,TRUE,202311101200
indep,precal,precal_m1_1110,202311101200-precal-gh1-m1,TRUE,202311101200,model,m1ver1110,202311101000-model-m1,TRUE,202311101200
dep,monitor,monitor1110,202311101200-monitor-gh1-photo01,TRUE,202311101200,fruit,fruit1110,"202311101200-fruit-gh1-c11-f111,202311101200-fruit-gh1-c11-f112,202311101200-fruit-gh1-c11-f113",TRUE,202311101200
dep,precal,precal_m1_1110,202311101200-precal-gh1-m1,TRUE,202311101200,fruit,fruit1110,"202311101200-fruit-gh1-c11-f111,202311101200-fruit-gh1-c11-f112,202311101200-fruit-gh1-c11-f113",TRUE,202311101200
dep,model,m1ver1110,202311101000-model-m1,TRUE,202311101200,fruit,fruit1110,"202311101200-fruit-gh1-c11-f111,202311101200-fruit-gh1-c11-f112,202311101200-fruit-gh1-c11-f113",TRUE,202311101200
indep,fruit,fruit1110,"202311101200-fruit-gh1-c11-f111,202311101200-fruit-gh1-c11-f112,202311101200-fruit-gh1-c11-f113",TRUE,202311101200,precal,precal_m2_1110,202311101200-precal-gh1-m2,TRUE,202311101200
indep,precal,precal_m2_1110,202311101200-precal-gh1-m2,TRUE,202311101200,model,m2ver1110,202311101000-model-m2,TRUE,202311101200
dep,model,m2ver1110,202311101000-model-m2,TRUE,202311101200,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200
dep,fruit,fruit1110,"202311101200-fruit-gh1-c11-f111,202311101200-fruit-gh1-c11-f112,202311101200-fruit-gh1-c11-f113",TRUE,202311101200,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200
dep,precal,precal_m2_1110,202311101200-precal-gh1-m2,TRUE,202311101200,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200
indep,sensor,sensor1110,"202311101200-sensor-gh1-temp-sen11,202311101200-sensor-gh1-temp-sen12,202311101200-sensor-gh1-humid-sen13,202311101200-sensor-gh1-humid-sen14",TRUE,202311101200,precal,precal_m2_1110,202311101200-precal-gh1-m2,TRUE,202311101200
dep,sensor,sensor1110,"202311101200-sensor-gh1-temp-sen11,202311101200-sensor-gh1-temp-sen12,202311101200-sensor-gh1-humid-sen13,202311101200-sensor-gh1-humid-sen14",TRUE,202311101200,estproduction,estpro1110,"202311101200-estproduction-gh1-1113,202311101200-estproduction-gh1-1114,202311101200-estproduction-gh1-1115",TRUE,202311101200
indep,monitor,monitor1111,202311111200-monitor-gh1-photo01,TRUE,202311111200,precal,precal_m1_1111,202311111200-precal-gh1-m1,TRUE,202311111200
indep,precal,precal_m1_1111,202311111200-precal-gh1-m1,TRUE,202311111200,model,m1ver1110,202311101000-model-m1,TRUE,202311101200
dep,monitor,monitor1111,202311111200-monitor-gh1-photo01,TRUE,202311111200,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",TRUE,202311111200
dep,precal,precal_m1_1111,202311111200-precal-gh1-m1,TRUE,202311111200,fruit,fruit1111,"202311111200-fruit-gh1-c11-f111,202311111200-fruit-gh1-c11-f112,202311111200-fruit-gh1-c11-f113",TRUE,202311111200
